Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,LCA_TaxId
"820|AF013606.1 Bacteroides uniformis RecA (recA) gene",246,0,388,73.45,73.71,99.65,135.66,2.29,245.53,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,820
77133|EU063851.1 Uncultured bacterium clone LM0ACA5ZH04FM1 genomic sequence,5580,0,659,99.39,100.0,99.39,100.0,35.73,5579.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063853.1 Uncultured bacterium clone LM0ACA5ZH06FM1 genomic sequence,834,0,642,94.7,94.7,100.0,105.59,6.54,833.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063860.1 Uncultured bacterium clone LM0ACA6ZA01FM1 genomic sequence,932,0,668,78.74,78.89,99.81,126.76,7.25,931.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063881.1 Uncultured bacterium clone LM0ACA6ZC01FM1 genomic sequence,830,0,743,67.29,67.7,99.4,147.71,4.94,829.1,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063884.1 Uncultured bacterium clone LM0ACA6ZC04FM1 genomic sequence,544,0,712,98.17,99.86,98.31,100.14,3.62,543.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU063894.1 Uncultured bacterium clone LM0ACA6ZD06FM1 genomic sequence,646,0,700,99.71,99.86,99.86,100.14,4.79,645.15,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063900.1 Uncultured bacterium clone LM0ACA6ZE01FM1 genomic sequence,460,0,673,95.84,96.58,99.23,103.54,3.04,459.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063901.1 Uncultured bacterium clone LM0ACA6ZE02FM1 genomic sequence,548,0,730,88.77,90.27,98.33,110.77,3.56,547.11,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU063907.1 Uncultured bacterium clone LM0ACA6ZE09FM1 genomic sequence,920,0,653,99.08,100.0,99.08,100.0,9.05,919.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063908.1 Uncultured bacterium clone LM0ACA6ZE10FM1 genomic sequence,1156,0,753,99.2,100.0,99.2,100.0,7.69,1155.09,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063913.1 Uncultured bacterium clone LM0ACA6ZF04FM1 genomic sequence,386,0,641,91.26,93.14,97.99,107.37,3.86,385.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU063917.1 Uncultured bacterium clone LM0ACA6ZF09FM1 genomic sequence,1014,0,705,95.46,95.6,99.85,104.6,6.63,1013.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063922.1 Uncultured bacterium clone LM0ACA6ZG03FM1 genomic sequence,506,0,591,89.85,90.36,99.44,110.67,3.66,505.28,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063937.1 Uncultured bacterium clone LM0ACA6ZH08FM1 genomic sequence,1418,0,677,99.56,100.0,99.56,100.0,11.63,1417.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063944.1 Uncultured bacterium clone LM0ACA7ZA06FM1 genomic sequence,1562,0,799,97.87,98.0,99.87,102.04,10.59,1561.03,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063945.1 Uncultured bacterium clone LM0ACA7ZA07FM1 genomic sequence,610,0,771,95.07,97.28,97.73,102.8,3.78,609.07,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU063947.1 Uncultured bacterium clone LM0ACA7ZA09FM1 genomic sequence,564,0,810,99.38,100.0,99.38,100.0,3.38,563.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063952.1 Uncultured bacterium clone LM0ACA7ZB02FM1 genomic sequence,522,0,764,90.31,90.71,99.57,110.25,3.46,521.07,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063955.1 Uncultured bacterium clone LM0ACA7ZB06FM1 genomic sequence,690,0,720,89.44,90.56,98.77,110.43,4.35,689.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063978.1 Uncultured bacterium clone LM0ACA7ZD09FM1 genomic sequence,928,0,699,90.41,90.41,100.0,110.6,5.76,927.15,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU063989.1 Uncultured bacterium clone LM0ACA7ZE09FM1 genomic sequence,658,0,609,97.7,99.84,97.86,100.16,5.69,657.26,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064006.1 Uncultured bacterium clone LM0ACA7ZG06FM1 genomic sequence,302,0,561,93.4,94.12,99.24,106.25,3.48,301.32,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064010.1 Uncultured bacterium clone LM0ACA7ZG11FM1 genomic sequence,850,0,736,90.49,90.62,99.85,110.34,5.02,849.11,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064011.1 Uncultured bacterium clone LM0ACA7ZG12FM1 genomic sequence,612,0,749,70.23,70.36,99.81,142.13,4.73,611.09,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064013.1 Uncultured bacterium clone LM0ACA7ZH02FM1 genomic sequence,1146,0,576,95.49,97.92,97.52,102.13,8.35,1145.3,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064016.1 Uncultured bacterium clone LM0ACA7ZH06FM1 genomic sequence,340,0,618,98.54,98.87,99.67,101.15,3.24,339.25,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064021.1 Uncultured bacterium clone LM0ACA7ZH11FM1 genomic sequence,1214,0,727,87.76,89.0,98.61,112.36,6.96,1213.12,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064022.1 Uncultured bacterium clone LM0ACA7ZH12FM1 genomic sequence,550,0,739,99.59,100.0,99.59,100.0,5.06,549.1,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064029.1 Uncultured bacterium clone LM0ACA8ZA08FM1 genomic sequence,1130,0,778,97.3,97.69,99.61,102.37,7.03,1129.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064032.1 Uncultured bacterium clone LM0ACA8ZA11FM1 genomic sequence,1008,0,736,76.36,77.31,98.77,129.35,6.23,1007.11,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064037.1 Uncultured bacterium clone LM0ACA8ZB05FM1 genomic sequence,586,0,787,98.22,100.0,98.22,100.0,4.25,585.05,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064043.1 Uncultured bacterium clone LM0ACA8ZC03FM1 genomic sequence,468,0,759,91.7,92.75,98.86,107.81,3.49,467.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064052.1 Uncultured bacterium clone LM0ACA8ZD01FM1 genomic sequence,1436,0,635,87.24,87.24,100.0,114.62,10.04,1435.23,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064053.1 Uncultured bacterium clone LM0ACA8ZD02FM1 genomic sequence,1548,0,761,89.88,90.41,99.42,110.61,10.12,1547.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064055.1 Uncultured bacterium clone LM0ACA8ZD04FM1 genomic sequence,502,0,805,91.18,92.05,99.06,108.64,3.04,501.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064057.1 Uncultured bacterium clone LM0ACA8ZD06FM1 genomic sequence,1984,0,815,98.65,99.63,99.01,100.37,11.43,1983.01,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064065.1 Uncultured bacterium clone LM0ACA8ZE03FM1 genomic sequence,1430,0,746,99.73,100.0,99.73,100.0,10.46,1429.1,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064070.1 Uncultured bacterium clone LM0ACA8ZE09FM1 genomic sequence,2006,0,757,98.41,99.08,99.33,100.93,11.45,2005.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064071.1 Uncultured bacterium clone LM0ACA8ZE10FM1 genomic sequence,912,0,786,97.07,98.09,98.96,101.95,6.16,911.05,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064075.1 Uncultured bacterium clone LM0ACA8ZF03FM1 genomic sequence,1024,0,758,98.94,100.26,98.68,99.74,6.16,1023.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064077.1 Uncultured bacterium clone LM0ACA8ZF05FM1 genomic sequence,2188,0,728,99.59,100.0,99.59,100.0,13.58,2187.12,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064078.1 Uncultured bacterium clone LM0ACA8ZF06FM1 genomic sequence,610,0,728,88.87,89.56,99.23,111.66,4.72,609.12,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064085.1 Uncultured bacterium clone LM0ACA8ZG01FM1 genomic sequence,996,0,665,89.17,89.17,100.0,112.14,9.45,995.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064087.1 Uncultured bacterium clone LM0ACA8ZG04FM1 genomic sequence,1072,0,766,99.22,100.0,99.22,100.0,6.51,1071.07,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064092.1 Uncultured bacterium clone LM0ACA8ZG10FM1 genomic sequence,734,0,777,63.71,65.77,96.87,152.05,5.5,733.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064093.1 Uncultured bacterium clone LM0ACA8ZG11FM1 genomic sequence,438,0,804,81.47,82.34,98.94,121.45,2.95,437.03,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064100.1 Uncultured bacterium clone LM0ACA8ZH06FM1 genomic sequence,1528,0,773,95.6,95.6,100.0,104.6,8.27,1527.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064106.1 Uncultured bacterium clone LM0ACA9ZA02FM1 genomic sequence,650,0,704,97.02,98.44,98.56,101.59,4.6,649.15,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064130.1 Uncultured bacterium clone LM0ACA9ZC02FM1 genomic sequence,562,0,809,95.67,96.66,98.98,103.45,3.27,561.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064131.1 Uncultured bacterium clone LM0ACA9ZC03FM1 genomic sequence,606,0,788,96.32,97.84,98.44,102.2,4.17,605.04,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064139.1 Uncultured bacterium clone LM0ACA9ZC11FM1 genomic sequence,2278,0,778,99.61,100.0,99.61,100.0,16.74,2277.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064156.1 Uncultured bacterium clone LM0ACA9ZE05FM1 genomic sequence,498,0,754,72.55,72.55,100.0,137.84,4.25,497.09,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064162.1 Uncultured bacterium clone LM0ACA9ZE11FM1 genomic sequence,1114,0,715,99.72,100.0,99.72,100.0,7.85,1113.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064163.1 Uncultured bacterium clone LM0ACA9ZE12FM1 genomic sequence,744,0,778,98.46,98.97,99.48,101.04,4.23,743.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064164.1 Uncultured bacterium clone LM0ACA9ZF01FM1 genomic sequence,806,0,768,99.35,100.13,99.22,99.87,5.11,805.07,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064173.1 Uncultured bacterium clone LM0ACA9ZF11FM1 genomic sequence,1176,0,721,99.72,100.0,99.72,100.0,8.89,1175.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064182.1 Uncultured bacterium clone LM0ACA9ZG09FM1 genomic sequence,1776,0,600,99.67,100.0,99.67,100.0,11.81,1775.27,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064188.1 Uncultured bacterium clone LM0ACA9ZH04FM1 genomic sequence,1308,0,798,93.11,93.11,100.0,107.4,6.74,1307.03,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064196.1 Uncultured bacterium clone HA0AAA11ZA05FM1 genomic sequence,426,0,707,86.7,88.26,98.24,113.3,3.51,425.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064198.1 Uncultured bacterium clone HA0AAA11ZA08FM1 genomic sequence,390,0,676,94.82,94.97,99.84,105.3,2.65,389.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064205.1 Uncultured bacterium clone HA0AAA11ZB07FM1 genomic sequence,1494,0,651,99.23,100.0,99.23,100.0,10.92,1493.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064208.1 Uncultured bacterium clone HA0AAA11ZB11FM1 genomic sequence,774,0,613,98.53,98.86,99.67,101.16,5.38,773.26,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064212.1 Uncultured bacterium clone HA0AAA11ZC04FM1 genomic sequence,748,0,667,97.3,98.05,99.24,101.99,5.52,747.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064214.1 Uncultured bacterium clone HA0AAA11ZC06FM1 genomic sequence,1602,0,707,99.01,99.72,99.29,100.28,9.08,1601.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064221.1 Uncultured bacterium clone HA0AAA11ZD02FM1 genomic sequence,734,0,672,65.18,65.77,99.1,152.04,5.56,733.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064223.1 Uncultured bacterium clone HA0AAA11ZD05FM1 genomic sequence,800,0,687,98.69,100.0,98.69,100.0,7.38,799.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064227.1 Uncultured bacterium clone HA0AAA11ZD09FM1 genomic sequence,788,0,623,98.72,99.36,99.35,100.65,7.63,787.24,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064234.1 Uncultured bacterium clone HA0AAA11ZE05FM1 genomic sequence,1120,0,677,99.7,100.0,99.7,100.0,7.32,1119.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064239.1 Uncultured bacterium clone HA0AAA11ZE10FM1 genomic sequence,1358,0,676,99.85,100.0,99.85,100.0,9.1,1357.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064240.1 Uncultured bacterium clone HA0AAA11ZE11FM1 genomic sequence,422,0,688,59.16,62.94,94.0,158.89,4.1,421.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,,2
77133|EU064258.1 Uncultured bacterium clone HA0AAA11ZG08FM1 genomic sequence,362,0,692,89.31,90.61,98.56,110.37,3.36,361.16,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064263.1 Uncultured bacterium clone HA0AAA11ZH02FM1 genomic sequence,1152,0,711,100.0,100.0,100.0,100.0,8.73,1151.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064265.1 Uncultured bacterium clone HA0AAA11ZH04FM1 genomic sequence,428,0,442,88.01,89.14,98.73,112.18,4.91,427.46,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064273.1 Uncultured bacterium clone HA0AAA11ZH12FM1 genomic sequence,1432,0,650,100.0,100.0,100.0,100.0,9.78,1431.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064275.1 Uncultured bacterium clone HA0AAA12ZA02FM1 genomic sequence,416,0,706,95.89,96.6,99.27,103.52,3.77,415.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064280.1 Uncultured bacterium clone HA0AAA12ZA09FM1 genomic sequence,418,0,621,75.52,76.81,98.32,130.19,3.6,417.25,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064285.1 Uncultured bacterium clone HA0AAA12ZB03FM1 genomic sequence,776,0,665,99.25,100.0,99.25,100.0,6.83,775.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064286.1 Uncultured bacterium clone HA0AAA12ZB04FM1 genomic sequence,1110,0,685,98.39,98.54,99.85,101.48,7.86,1109.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064298.1 Uncultured bacterium clone HA0AAA12ZC11FM1 genomic sequence,1182,0,657,99.39,100.0,99.39,100.0,7.85,1181.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064303.1 Uncultured bacterium clone HA0AAA12ZD05FM1 genomic sequence,732,0,665,99.25,100.0,99.25,100.0,7.76,731.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064309.1 Uncultured bacterium clone HA0AAA12ZE01FM1 genomic sequence,15700,0,658,100.0,100.0,100.0,100.0,99.08,15699.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064313.1 Uncultured bacterium clone HA0AAA12ZE05FM1 genomic sequence,604,0,675,97.93,99.56,98.36,100.45,4.55,603.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064324.1 Uncultured bacterium clone HA0AAA12ZF06FM1 genomic sequence,458,0,642,71.34,71.5,99.78,139.87,3.39,457.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064330.1 Uncultured bacterium clone HA0AAA12ZG02FM1 genomic sequence,322,0,643,78.07,78.23,99.8,127.83,2.26,321.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064342.1 Uncultured bacterium clone HA0AAA12ZH03FM1 genomic sequence,560,0,707,72.28,72.42,99.8,138.09,3.62,559.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064347.1 Uncultured bacterium clone HA0AAA12ZH10FM1 genomic sequence,1004,0,611,99.84,100.0,99.84,100.0,8.0,1003.26,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064349.1 Uncultured bacterium clone HA0AAA12ZH12FM1 genomic sequence,568,0,672,94.49,95.09,99.37,105.16,3.95,567.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064351.1 Uncultured bacterium clone HA0AAA13ZA03FM1 genomic sequence,1372,0,607,99.34,99.84,99.5,100.17,10.59,1371.26,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064352.1 Uncultured bacterium clone HA0AAA13ZA04FM1 genomic sequence,1286,0,645,91.94,92.56,99.33,108.04,8.73,1285.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064355.1 Uncultured bacterium clone HA0AAA13ZA10FM1 genomic sequence,956,0,715,98.46,100.0,98.46,100.0,7.33,955.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064358.1 Uncultured bacterium clone HA0AAA13ZB01FM1 genomic sequence,746,0,676,98.52,98.52,100.0,101.5,6.71,745.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064373.1 Uncultured bacterium clone HA0AAA13ZC06FM1 genomic sequence,674,0,713,75.32,75.32,100.0,132.77,5.79,673.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064385.1 Uncultured bacterium clone HA0AAA13ZD06FM1 genomic sequence,646,0,693,97.11,98.27,98.83,101.76,4.85,645.16,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064386.1 Uncultured bacterium clone HA0AAA13ZD08FM1 genomic sequence,480,0,676,93.2,94.08,99.06,106.29,3.73,479.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064398.1 Uncultured bacterium clone HA0AAA13ZE09FM1 genomic sequence,1316,0,687,99.85,100.0,99.85,100.0,9.45,1315.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064400.1 Uncultured bacterium clone HA0AAA13ZE11FM1 genomic sequence,620,0,670,64.18,66.27,96.85,150.9,5.07,619.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064402.1 Uncultured bacterium clone HA0AAA13ZF01FM1 genomic sequence,524,0,655,60.46,60.76,99.5,164.57,2.93,523.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064404.1 Uncultured bacterium clone HA0AAA13ZF04FM1 genomic sequence,1272,0,711,93.25,93.39,99.85,107.08,7.15,1271.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064407.1 Uncultured bacterium clone HA0AAA13ZF07FM1 genomic sequence,308,0,590,67.8,69.15,98.04,144.61,2.93,307.28,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU064413.1 Uncultured bacterium clone HA0AAA13ZG01FM1 genomic sequence,528,0,708,60.45,60.59,99.77,165.03,3.35,527.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064417.1 Uncultured bacterium clone HA0AAA13ZG05FM1 genomic sequence,2936,0,662,99.4,99.85,99.55,100.15,22.17,2935.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064421.1 Uncultured bacterium clone HA0AAA13ZG11FM1 genomic sequence,408,0,561,81.28,81.64,99.56,122.49,3.02,407.32,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064434.1 Uncultured bacterium clone HA0AAA14ZA05FM1 genomic sequence,958,0,708,82.34,82.49,99.83,121.23,6.52,957.14,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064436.1 Uncultured bacterium clone HA0AAA14ZA07FM1 genomic sequence,1540,0,688,99.71,100.15,99.56,99.85,9.17,1539.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064449.1 Uncultured bacterium clone HA0AAA14ZB12FM1 genomic sequence,1458,0,640,99.38,100.0,99.38,100.0,9.84,1457.22,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064451.1 Uncultured bacterium clone HA0AAA14ZC02FM1 genomic sequence,602,0,687,56.48,56.48,100.0,177.06,3.9,601.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064459.1 Uncultured bacterium clone HA0AAA14ZC11FM1 genomic sequence,818,0,622,93.73,93.73,100.0,106.69,6.64,817.25,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064461.1 Uncultured bacterium clone HA0AAA14ZD01FM1 genomic sequence,934,0,606,99.67,100.0,99.67,100.0,9.32,933.26,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU064466.1 Uncultured bacterium clone HA0AAA14ZD10FM1 genomic sequence,368,0,660,77.12,77.42,99.61,129.16,2.37,367.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
